step,iso_time,elapsed_ms,dir,motor_on_ms,reply_ms,tx_hex,rx_hex,chk_ok,word_dec,word_hex,d1_dec,d2_dec,delta_counts,note
1,2026-08-28T10:51:22.758+02:00,0,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 02 AA 08,true,682,02AA,2,170,,
2,2026-08-28T10:51:24.076+02:00,1318,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 03 8D EC,true,909,038D,3,141,227,
3,2026-08-28T10:51:25.394+02:00,2636,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 04 70 D0,true,1136,0470,4,112,227,
4,2026-08-28T10:51:26.713+02:00,3954,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 05 53 B4,true,1363,0553,5,83,227,
5,2026-08-28T10:51:28.031+02:00,5272,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 06 36 98,true,1590,0636,6,54,227,
6,2026-08-28T10:51:29.349+02:00,6590,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 07 1A 7D,true,1818,071A,7,26,228,
7,2026-08-28T10:51:30.667+02:00,7908,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 07 FD 60,true,2045,07FD,7,253,227,
8,2026-08-28T10:51:31.985+02:00,9226,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 08 E0 44,true,2272,08E0,8,224,227,
9,2026-08-28T10:51:33.303+02:00,10544,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 09 C3 28,true,2499,09C3,9,195,227,
10,2026-08-28T10:51:34.619+02:00,11860,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 0A A6 0C,true,2726,0AA6,10,166,227,
11,2026-08-28T10:51:35.938+02:00,13179,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 0B 89 F0,true,2953,0B89,11,137,227,
12,2026-08-28T10:51:37.255+02:00,14496,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 0C 6C D4,true,3180,0C6C,12,108,227,
13,2026-08-28T10:51:38.572+02:00,15813,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 0D 50 B9,true,3408,0D50,13,80,228,
14,2026-08-28T10:51:39.890+02:00,17131,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 0E 33 9D,true,3635,0E33,14,51,227,
15,2026-08-28T10:51:41.207+02:00,18448,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 0F 16 81,true,3862,0F16,15,22,227,
16,2026-08-28T10:51:42.524+02:00,19765,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 0F F9 64,true,4089,0FF9,15,249,227,
17,2026-08-28T10:51:43.848+02:00,21089,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 10 DC 48,true,4316,10DC,16,220,227,
18,2026-08-28T10:51:45.165+02:00,22406,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 11 BF 2C,true,4543,11BF,17,191,227,
19,2026-08-28T10:51:46.482+02:00,23723,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 12 A2 10,true,4770,12A2,18,162,227,
20,2026-08-28T10:51:47.799+02:00,25040,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 13 85 F4,true,4997,1385,19,133,227,
21,2026-08-28T10:51:49.116+02:00,26357,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 14 68 D8,true,5224,1468,20,104,227,
22,2026-08-28T10:51:50.434+02:00,27675,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 15 4C BD,true,5452,154C,21,76,228,
23,2026-08-28T10:51:51.752+02:00,28993,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 16 2F A1,true,5679,162F,22,47,227,
24,2026-08-28T10:51:53.069+02:00,30310,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 17 12 85,true,5906,1712,23,18,227,
25,2026-08-28T10:51:54.386+02:00,31627,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 17 F5 68,true,6133,17F5,23,245,227,
26,2026-08-28T10:51:55.703+02:00,32944,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 18 D8 4C,true,6360,18D8,24,216,227,
27,2026-08-28T10:51:57.020+02:00,34261,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 19 BB 30,true,6587,19BB,25,187,227,
28,2026-08-28T10:51:58.338+02:00,35579,up,1001,63,FF 01 00 53 00 00 54,FF 01 00 5B 1A 9E 14,true,6814,1A9E,26,158,227,
29,2026-08-28T10:51:59.655+02:00,36896,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 1B 82 F9,true,7042,1B82,27,130,228,
30,2026-08-28T10:52:00.974+02:00,38215,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 1C 81 F9,true,7297,1C81,28,129,255,
31,2026-08-28T10:52:02.292+02:00,39533,up,1001,63,FF 01 00 53 00 00 54,FF 01 00 5B 1D 64 DD,true,7524,1D64,29,100,227,
32,2026-08-28T10:52:03.609+02:00,40850,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 1E 47 C1,true,7751,1E47,30,71,227,
33,2026-08-28T10:52:04.926+02:00,42167,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 1F 2A A5,true,7978,1F2A,31,42,227,
34,2026-08-28T10:52:06.243+02:00,43484,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 20 0E 8A,true,8206,200E,32,14,228,
35,2026-08-28T10:52:07.560+02:00,44801,up,1001,63,FF 01 00 53 00 00 54,FF 01 00 5B 20 F1 6D,true,8433,20F1,32,241,227,
36,2026-08-28T10:52:08.877+02:00,46118,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 21 D4 51,true,8660,21D4,33,212,227,
37,2026-08-28T10:52:10.194+02:00,47435,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 22 B7 35,true,8887,22B7,34,183,227,
38,2026-08-28T10:52:11.511+02:00,48752,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 23 9A 19,true,9114,239A,35,154,227,
39,2026-08-28T10:52:12.828+02:00,50069,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 24 7D FD,true,9341,247D,36,125,227,
40,2026-08-28T10:52:14.145+02:00,51386,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 25 60 E1,true,9568,2560,37,96,227,
41,2026-08-28T10:52:15.463+02:00,52704,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 25 BC 3D,true,9660,25BC,37,188,92,
42,2026-08-28T10:52:16.781+02:00,54022,up,1001,90,FF 01 00 53 00 00 54,FF 01 00 5B 25 BC 3D,true,9660,25BC,37,188,0,
43,2026-08-28T10:52:18.125+02:00,55366,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 25 BC 3D,true,9660,25BC,37,188,0,
