step,iso_time,elapsed_ms,dir,motor_on_ms,reply_ms,tx_hex,rx_hex,chk_ok,word_dec,word_hex,d1_dec,d2_dec,delta_counts,note
1,2026-08-27T23:46:40.936+02:00,0,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 9B 81 78,true,39809,9B81,155,129,,
2,2026-08-27T23:46:42.255+02:00,1318,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 3A 91 27,true,14993,3A91,58,145,-24816,
3,2026-08-27T23:46:43.572+02:00,2636,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B D6 11 43,true,54801,D611,214,17,39808,
4,2026-08-27T23:46:44.890+02:00,3954,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 76 E9 BB,true,30441,76E9,118,233,-24360,
5,2026-08-27T23:46:46.207+02:00,5270,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 12 69 D7,true,4713,1269,18,105,-25728,
6,2026-08-27T23:46:47.525+02:00,6588,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B AC 22 2A,true,44066,AC22,172,34,39353,
7,2026-08-27T23:46:48.843+02:00,7907,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 4C FA A2,true,19706,4CFA,76,250,-24360,
8,2026-08-27T23:46:50.159+02:00,9223,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B E8 7A BE,true,59514,E87A,232,122,39808,
9,2026-08-27T23:46:51.477+02:00,10541,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 83 FA D9,true,33786,83FA,131,250,-25728,
10,2026-08-27T23:46:52.794+02:00,11858,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 1D B3 2C,true,7603,1DB3,29,179,-26183,
11,2026-08-27T23:46:54.112+02:00,13176,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B B7 6C 7F,true,46956,B76C,183,108,39353,
12,2026-08-27T23:46:55.430+02:00,14494,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 52 EC 9A,true,21228,52EC,82,236,-25728,
13,2026-08-27T23:46:56.748+02:00,15812,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B F0 34 80,true,61492,F034,240,52,40264,
14,2026-08-27T23:46:58.066+02:00,17130,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 8B B6 9D,true,35766,8BB6,139,182,-25726,
15,2026-08-27T23:46:59.384+02:00,18448,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 27 34 B7,true,10036,2734,39,52,-25730,
16,2026-08-27T23:47:00.702+02:00,19765,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B C2 B6 D4,true,49846,C2B6,194,182,39810,
17,2026-08-27T23:47:02.019+02:00,21083,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 5C 70 28,true,23664,5C70,92,112,-26182,
18,2026-08-27T23:47:03.337+02:00,22401,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B FB 80 D7,true,64384,FB80,251,128,40720,
19,2026-08-27T23:47:04.654+02:00,23718,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 9C 56 4E,true,40022,9C56,156,86,-24362,
20,2026-08-27T23:47:05.970+02:00,25033,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 39 9E 33,true,14750,399E,57,158,-25272,
21,2026-08-27T23:47:07.286+02:00,26350,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B D5 20 51,true,54560,D520,213,32,39810,
22,2026-08-27T23:47:08.604+02:00,27668,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 75 F6 C7,true,30198,75F6,117,246,-24362,
23,2026-08-27T23:47:09.921+02:00,28985,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 13 3E AD,true,4926,133E,19,62,-25272,
24,2026-08-27T23:47:11.239+02:00,30303,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B B0 88 94,true,45192,B088,176,136,40266,
25,2026-08-27T23:47:12.557+02:00,31621,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 48 78 1C,true,18552,4878,72,120,-26640,
26,2026-08-27T23:47:13.875+02:00,32938,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B E2 30 6E,true,57904,E230,226,48,39352,
27,2026-08-27T23:47:15.192+02:00,34256,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 7B E8 BF,true,31720,7BE8,123,232,-26184,
28,2026-08-27T23:47:16.510+02:00,35574,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 15 A4 15,true,5540,15A4,21,164,-26180,
29,2026-08-27T23:47:17.828+02:00,36892,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B B4 B0 C0,true,46256,B4B0,180,176,40716,
30,2026-08-27T23:47:19.145+02:00,38208,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 51 FC A9,true,20988,51FC,81,252,-25268,
31,2026-08-27T23:47:20.463+02:00,39526,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B ED 7C C5,true,60796,ED7C,237,124,39808,
32,2026-08-27T23:47:21.781+02:00,40844,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 88 FC E0,true,35068,88FC,136,252,-25728,
33,2026-08-27T23:47:23.099+02:00,42162,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 24 7C FC,true,9340,247C,36,124,-25728,
34,2026-08-27T23:47:24.417+02:00,43481,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B BF FC 17,true,49148,BFFC,191,252,39808,
35,2026-08-27T23:47:25.735+02:00,44798,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 59 B4 69,true,22964,59B4,89,180,-26184,
36,2026-08-27T23:47:27.052+02:00,46115,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B F1 A4 F1,true,61860,F1A4,241,164,38896,
37,2026-08-27T23:47:28.369+02:00,47433,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 89 94 79,true,35220,8994,137,148,-26640,
38,2026-08-27T23:47:29.687+02:00,48750,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 21 88 05,true,8584,2188,33,136,-26636,
39,2026-08-27T23:47:31.005+02:00,50068,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B BD 08 21,true,48392,BD08,189,8,39808,
40,2026-08-27T23:47:32.323+02:00,51387,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 58 88 3C,true,22664,5888,88,136,-25728,
41,2026-08-27T23:47:33.641+02:00,52705,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B F2 40 8E,true,62016,F240,242,64,39352,
42,2026-08-27T23:47:34.959+02:00,54022,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 8D C4 AD,true,36292,8DC4,141,196,-25724,
43,2026-08-27T23:47:36.277+02:00,55340,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 7D 40 19,true,32064,7D40,125,64,-4228,
44,2026-08-27T23:47:37.594+02:00,56657,up,1001,64,FF 01 00 53 00 00 54,FF 01 00 5B 7D 40 19,true,32064,7D40,125,64,0,
45,2026-08-27T23:47:38.912+02:00,57975,up,1000,64,FF 01 00 53 00 00 54,FF 01 00 5B 7D 40 19,true,32064,7D40,125,64,0,
